"filename", "language", "Shell Script", "Markdown", "C", "CMake", "C++", "Properties", "Diff", "ARM", "comment", "blank", "total"
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/trap.asm", "ARM", 0, 0, 0, 0, 0, 0, 0, 70, 0, 7, 77
"/home/nexos/sources/nexnix/source/nexke/cpu/riscv64/arch.cmake", "CMake", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"/home/nexos/sources/nexnix/source/nexke/cpu/riscv64/cpudep.c", "C", 0, 0, 12, 0, 0, 0, 0, 0, 22, 6, 40
"/home/nexos/sources/nexnix/source/nexke/cpu/riscv64/mul.c", "C", 0, 0, 3, 0, 0, 0, 0, 0, 16, 1, 20
"/home/nexos/sources/nexnix/source/nexke/cpu/x86/cpuid.c", "C", 0, 0, 267, 0, 0, 0, 0, 0, 47, 18, 332
"/home/nexos/sources/nexnix/source/nexke/cpu/x86/exec.c", "C", 0, 0, 57, 0, 0, 0, 0, 0, 23, 7, 87
"/home/nexos/sources/nexnix/source/nexke/cpu/x86/tsc.c", "C", 0, 0, 59, 0, 0, 0, 0, 0, 27, 11, 97
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/arch.cmake", "CMake", 0, 0, 0, 30, 0, 0, 0, 0, 0, 9, 39
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/cpu.asm", "ARM", 0, 0, 0, 0, 0, 0, 0, 66, 0, 6, 72
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/cpudep.c", "C", 0, 0, 190, 0, 0, 0, 0, 0, 72, 20, 282
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/cpuhelp.c", "C", 0, 0, 179, 0, 0, 0, 0, 0, 17, 28, 224
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/mul.c", "C", 0, 0, 200, 0, 0, 0, 0, 0, 71, 17, 288
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/trap.asm", "ARM", 0, 0, 0, 0, 0, 0, 0, 86, 0, 6, 92
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu.h", "C", 0, 0, 74, 0, 0, 0, 0, 0, 47, 28, 149
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/armv8/armv8.h", "C++", 0, 0, 0, 0, 100, 0, 0, 0, 31, 40, 171
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/armv8/mul.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 26, 12, 59
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/i386/i386.h", "C++", 0, 0, 0, 0, 91, 0, 0, 0, 36, 23, 150
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/i386/mul.h", "C++", 0, 0, 0, 0, 90, 0, 0, 0, 35, 27, 152
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/ptab.h", "C++", 0, 0, 0, 0, 58, 0, 0, 0, 31, 21, 110
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/riscv64/riscv64.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 18, 5, 30
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/x86/x86.h", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 63, 56, 329
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/x86_64/mul.h", "C++", 0, 0, 0, 0, 62, 0, 0, 0, 31, 20, 113
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/x86_64/x86_64.h", "C++", 0, 0, 0, 0, 55, 0, 0, 0, 27, 17, 99
"/home/nexos/sources/nexnix/source/nexke/include/nexke/list.h", "C++", 0, 0, 0, 0, 99, 0, 0, 0, 29, 17, 145
